,Unnamed: 0,Weapon,Kills,Damage,Shots,Hits,Accuracy,Cumulative play time,Player,Competition
5,,Prowler Burst PDW,1,354,95,27,28.42%,0h 11m 46s,RID Yukio,Y4-Split1 ALGS-Playoffs
6,,Thermite Grenade,1,26,-,8,-,0h 0m 0s,RID Yukio,Y4-Split1 ALGS-Playoffs
7,,Sentinel,1,288,4,4,100%,0h 1m 2s,RID Yukio,Y4-Split1 ALGS-Playoffs
8,,Alternator SMG,1,20,21,2,9.52%,0h 0m 6s,RID Yukio,Y4-Split1 ALGS-Playoffs
9,,Arc Star,1,247,-,8,-,0h 0m 0s,RID Yukio,Y4-Split1 ALGS-Playoffs
10,,Hemlok Burst AR,0,802,372,39,10.48%,0h 24m 39s,RID Yukio,Y4-Split1 ALGS-Playoffs
11,,Frag Grenade,0,87,-,3,-,0h 0m 0s,RID Yukio,Y4-Split1 ALGS-Playoffs
12,,30-30 Repeater,0,0,16,-,0%,0h 1m 44s,RID Yukio,Y4-Split1 ALGS-Playoffs
13,,Longbow DMR,0,165,18,3,16.67%,0h 3m 49s,RID Yukio,Y4-Split1 ALGS-Playoffs
14,,Mozambique Shotgun,0,0,-,-,-,0h 0m 25s,RID Yukio,Y4-Split1 ALGS-Playoffs
15,,P2020,0,0,-,-,NAN%,0h 0m 10s,RID Yukio,Y4-Split1 ALGS-Playoffs
16,,G7 Scout,0,0,-,-,NAN%,0h 0m 6s,RID Yukio,Y4-Split1 ALGS-Playoffs
17,,RE-45 Auto,0,152,36,11,30.56%,0h 1m 4s,RID Yukio,Y4-Split1 ALGS-Playoffs
18,,R-99 SMG,0,0,-,-,NAN%,0h 0m 19s,RID Yukio,Y4-Split1 ALGS-Playoffs
19,,Melee,0,10,-,1,-,0h 0m 0s,RID Yukio,Y4-Split1 ALGS-Playoffs
20,,Peacekeeper,0,66,-,-,-,0h 3m 14s,RID Yukio,Y4-Split1 ALGS-Playoffs
21,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 2s,RID Yukio,Y4-Split1 ALGS-Playoffs
22,,L-STAR EMG,0,0,-,-,NAN%,0h 0m 11s,RID Yukio,Y4-Split1 ALGS-Playoffs
23,,R-301 Carbine,0,0,8,-,0%,0h 0m 14s,RID Yukio,Y4-Split1 ALGS-Playoffs
24,,Mastiff Shotgun,0,0,-,-,-,0h 0m 27s,RID Yukio,Y4-Split1 ALGS-Playoffs
25,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 5s,RID Yukio,Y4-Split1 ALGS-Playoffs
26,,Rampage LMG,0,0,-,-,NAN%,0h 0m 2s,RID Yukio,Y4-Split1 ALGS-Playoffs
27,,Devotion LMG,0,0,-,-,NAN%,0h 0m 5s,RID Yukio,Y4-Split1 ALGS-Playoffs
0,,Volt SMG,4,2323,822,167,20.32%,0h 16m 37s,BGB Fussy,Y4-Split1 ALGS-Playoffs
1,,Hemlok Burst AR,3,4849,2034,283,13.91%,0h 45m 38s,BGB Fussy,Y4-Split1 ALGS-Playoffs
2,,Arc Star,1,425,-,14,-,0h 0m 0s,BGB Fussy,Y4-Split1 ALGS-Playoffs
3,,Rampage LMG,1,348,112,16,14.29%,0h 2m 41s,BGB Fussy,Y4-Split1 ALGS-Playoffs
4,,C.A.R. SMG,1,760,311,69,22.19%,0h 4m 39s,BGB Fussy,Y4-Split1 ALGS-Playoffs
5,,VK-47 Flatline,1,848,508,48,9.45%,0h 10m 34s,BGB Fussy,Y4-Split1 ALGS-Playoffs
6,,R-301 Carbine,0,825,510,64,12.55%,0h 10m 47s,BGB Fussy,Y4-Split1 ALGS-Playoffs
7,,HAVOC Rifle,0,216,83,13,15.66%,0h 3m 37s,BGB Fussy,Y4-Split1 ALGS-Playoffs
8,,Alternator SMG,0,0,4,-,0%,0h 0m 19s,BGB Fussy,Y4-Split1 ALGS-Playoffs
9,,30-30 Repeater,0,928,123,26,21.14%,0h 16m 5s,BGB Fussy,Y4-Split1 ALGS-Playoffs
10,,Nemesis Burst AR,0,861,512,57,11.13%,0h 19m 3s,BGB Fussy,Y4-Split1 ALGS-Playoffs
11,,Prowler Burst PDW,0,166,131,12,9.16%,0h 2m 30s,BGB Fussy,Y4-Split1 ALGS-Playoffs
12,,Frag Grenade,0,479,-,8,-,0h 0m 0s,BGB Fussy,Y4-Split1 ALGS-Playoffs
13,,RE-45 Auto,0,0,8,-,0%,0h 0m 11s,BGB Fussy,Y4-Split1 ALGS-Playoffs
14,,Longbow DMR,0,0,-,-,NAN%,0h 0m 7s,BGB Fussy,Y4-Split1 ALGS-Playoffs
15,,G7 Scout,0,0,-,-,NAN%,0h 0m 12s,BGB Fussy,Y4-Split1 ALGS-Playoffs
16,,Wingman,0,410,-,9,-,0h 0m 0s,BGB Fussy,Y4-Split1 ALGS-Playoffs
17,,Thermite Grenade,0,122,-,32,-,0h 0m 0s,BGB Fussy,Y4-Split1 ALGS-Playoffs
18,,Devotion LMG,0,0,-,-,NAN%,0h 0m 4s,BGB Fussy,Y4-Split1 ALGS-Playoffs
19,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 9s,BGB Fussy,Y4-Split1 ALGS-Playoffs
20,,R-99 SMG,0,0,-,-,NAN%,0h 0m 16s,BGB Fussy,Y4-Split1 ALGS-Playoffs
21,,L-STAR EMG,0,0,16,-,0%,0h 0m 10s,BGB Fussy,Y4-Split1 ALGS-Playoffs
22,,Triple Take,0,0,-,-,-,0h 0m 4s,BGB Fussy,Y4-Split1 ALGS-Playoffs
23,,Sentinel,0,0,12,-,0%,0h 1m 28s,BGB Fussy,Y4-Split1 ALGS-Playoffs
24,,Charge Rifle,0,0,-,-,-,0h 0m 5s,BGB Fussy,Y4-Split1 ALGS-Playoffs
0,,Volt SMG,11,7820,2527,568,22.48%,0h 36m 59s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
1,,Hemlok Burst AR,10,4933,1661,312,18.78%,0h 57m 57s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
2,,30-30 Repeater,3,5355,720,151,20.97%,1h 5m 44s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
3,,C.A.R. SMG,2,216,118,20,16.95%,0h 1m 39s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
4,,Arc Star,1,383,-,11,-,0h 0m 0s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
5,,HAVOC Rifle,0,479,200,29,14.5%,0h 4m 44s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
6,,Rampage LMG,0,38,22,2,9.09%,0h 2m 6s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
7,,Triple Take,0,63,47,-,-,0h 2m 8s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
8,,Frag Grenade,0,828,-,19,-,0h 0m 0s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
9,,L-STAR EMG,0,0,6,-,0%,0h 0m 29s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
10,,Prowler Burst PDW,0,0,60,-,0%,0h 0m 56s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
11,,P2020,0,0,-,-,NAN%,0h 0m 20s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
12,,R-99 SMG,0,0,14,-,0%,0h 0m 18s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
13,,VK-47 Flatline,0,837,254,50,19.69%,0h 8m 54s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
14,,M600 Spitfire,0,0,19,-,0%,0h 0m 13s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
15,,RE-45 Auto,0,218,161,19,11.8%,0h 3m 59s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
16,,R-301 Carbine,0,517,167,43,25.75%,0h 5m 54s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
17,,Alternator SMG,0,0,14,-,0%,0h 0m 26s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
18,,Kraber .50-Cal Sniper,0,0,-,-,NAN%,0h 0m 1s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
19,,Nemesis Burst AR,0,0,8,-,0%,0h 0m 30s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
20,,Mastiff Shotgun,0,0,-,-,-,0h 0m 1s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
21,,Mozambique Shotgun,0,0,-,-,-,0h 0m 7s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
22,,G7 Scout,0,0,-,-,NAN%,0h 0m 1s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
23,,Devotion LMG,0,0,-,-,NAN%,0h 0m 15s,MIH Sinetic,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,21,8011,1704,489,28.7%,0h 46m 31s,ALL Effect,Y4-Split1 ALGS-Playoffs
1,,Hemlok Burst AR,14,8469,2759,534,19.35%,1h 50m 17s,ALL Effect,Y4-Split1 ALGS-Playoffs
2,,Volt SMG,5,1525,768,115,14.97%,0h 17m 26s,ALL Effect,Y4-Split1 ALGS-Playoffs
3,,VK-47 Flatline,3,1524,767,94,12.26%,0h 22m 25s,ALL Effect,Y4-Split1 ALGS-Playoffs
4,,Alternator SMG,2,685,407,44,10.81%,0h 8m 43s,ALL Effect,Y4-Split1 ALGS-Playoffs
5,,Wingman,2,340,-,8,-,0h 0m 0s,ALL Effect,Y4-Split1 ALGS-Playoffs
6,,Nemesis Burst AR,1,2096,609,189,31.03%,0h 19m 30s,ALL Effect,Y4-Split1 ALGS-Playoffs
7,,Thermite Grenade,1,279,-,79,-,0h 0m 0s,ALL Effect,Y4-Split1 ALGS-Playoffs
8,,Longbow DMR,1,89,-,2,-,0h 0m 9s,ALL Effect,Y4-Split1 ALGS-Playoffs
9,,Frag Grenade,0,913,-,17,-,0h 0m 0s,ALL Effect,Y4-Split1 ALGS-Playoffs
10,,Bocek Compound Bow,0,1486,-,25,-,0h 3m 15s,ALL Effect,Y4-Split1 ALGS-Playoffs
11,,Mozambique Shotgun,0,0,6,-,-,0h 0m 20s,ALL Effect,Y4-Split1 ALGS-Playoffs
12,,P2020,0,0,30,-,0%,0h 0m 51s,ALL Effect,Y4-Split1 ALGS-Playoffs
13,,R-99 SMG,0,0,-,-,NAN%,0h 0m 8s,ALL Effect,Y4-Split1 ALGS-Playoffs
14,,Prowler Burst PDW,0,277,114,20,17.54%,0h 2m 37s,ALL Effect,Y4-Split1 ALGS-Playoffs
15,,30-30 Repeater,0,146,21,3,14.29%,0h 2m 22s,ALL Effect,Y4-Split1 ALGS-Playoffs
16,,R-301 Carbine,0,489,222,39,17.57%,0h 10m 29s,ALL Effect,Y4-Split1 ALGS-Playoffs
17,,RE-45 Auto,0,0,80,-,0%,0h 2m 34s,ALL Effect,Y4-Split1 ALGS-Playoffs
18,,Rampage LMG,0,312,153,12,7.84%,0h 4m 28s,ALL Effect,Y4-Split1 ALGS-Playoffs
19,,Peacekeeper,0,0,-,-,-,0h 0m 3s,ALL Effect,Y4-Split1 ALGS-Playoffs
20,,Arc Star,0,172,-,6,-,0h 0m 0s,ALL Effect,Y4-Split1 ALGS-Playoffs
21,,G7 Scout,0,436,118,15,12.71%,0h 2m 12s,ALL Effect,Y4-Split1 ALGS-Playoffs
22,,L-STAR EMG,0,0,-,-,0%,0h 1m 25s,ALL Effect,Y4-Split1 ALGS-Playoffs
23,,M600 Spitfire,0,0,37,-,0%,0h 0m 30s,ALL Effect,Y4-Split1 ALGS-Playoffs
24,,Triple Take,0,0,-,-,-,0h 0m 38s,ALL Effect,Y4-Split1 ALGS-Playoffs
25,,Sentinel,0,355,16,5,31.25%,0h 7m 2s,ALL Effect,Y4-Split1 ALGS-Playoffs
26,,C.A.R. SMG,0,0,109,-,0%,0h 1m 30s,ALL Effect,Y4-Split1 ALGS-Playoffs
27,,Devotion LMG,0,0,24,-,0%,0h 0m 51s,ALL Effect,Y4-Split1 ALGS-Playoffs
28,,Mastiff Shotgun,0,0,21,-,-,0h 0m 30s,ALL Effect,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,5,1938,521,137,26.3%,0h 32m 51s,HAO Right,Y4-Split1 ALGS-Playoffs
1,,Nemesis Burst AR,3,2287,792,162,20.45%,0h 29m 59s,HAO Right,Y4-Split1 ALGS-Playoffs
2,,Triple Take,1,428,43,-,-,0h 6m 51s,HAO Right,Y4-Split1 ALGS-Playoffs
3,,Volt SMG,1,114,199,8,4.02%,0h 10m 41s,HAO Right,Y4-Split1 ALGS-Playoffs
4,,Wingman,1,486,-,10,-,0h 0m 0s,HAO Right,Y4-Split1 ALGS-Playoffs
5,,C.A.R. SMG,0,36,176,3,1.7%,0h 8m 30s,HAO Right,Y4-Split1 ALGS-Playoffs
6,,Rampage LMG,0,74,24,3,12.5%,0h 2m 26s,HAO Right,Y4-Split1 ALGS-Playoffs
7,,30-30 Repeater,0,490,51,12,23.53%,0h 4m 57s,HAO Right,Y4-Split1 ALGS-Playoffs
8,,Longbow DMR,0,55,-,1,-,0h 0m 23s,HAO Right,Y4-Split1 ALGS-Playoffs
9,,P2020,0,0,-,-,NAN%,0h 0m 3s,HAO Right,Y4-Split1 ALGS-Playoffs
10,,Prowler Burst PDW,0,384,161,28,17.39%,0h 18m 41s,HAO Right,Y4-Split1 ALGS-Playoffs
11,,L-STAR EMG,0,0,10,-,0%,0h 0m 56s,HAO Right,Y4-Split1 ALGS-Playoffs
12,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 22s,HAO Right,Y4-Split1 ALGS-Playoffs
13,,G7 Scout,0,162,32,5,15.63%,0h 5m 22s,HAO Right,Y4-Split1 ALGS-Playoffs
14,,Alternator SMG,0,0,3,-,0%,0h 0m 43s,HAO Right,Y4-Split1 ALGS-Playoffs
15,,RE-45 Auto,0,0,6,-,0%,0h 0m 18s,HAO Right,Y4-Split1 ALGS-Playoffs
16,,Hemlok Burst AR,0,976,598,54,9.03%,0h 33m 6s,HAO Right,Y4-Split1 ALGS-Playoffs
17,,Arc Star,0,18,-,1,-,0h 0m 0s,HAO Right,Y4-Split1 ALGS-Playoffs
18,,M600 Spitfire,0,0,98,-,0%,0h 1m 58s,HAO Right,Y4-Split1 ALGS-Playoffs
19,,R-99 SMG,0,0,25,-,0%,0h 1m 19s,HAO Right,Y4-Split1 ALGS-Playoffs
20,,Mozambique Shotgun,0,0,-,-,-,0h 0m 7s,HAO Right,Y4-Split1 ALGS-Playoffs
21,,Devotion LMG,0,0,-,-,NAN%,0h 0m 3s,HAO Right,Y4-Split1 ALGS-Playoffs
22,,VK-47 Flatline,0,56,76,4,5.26%,0h 9m 14s,HAO Right,Y4-Split1 ALGS-Playoffs
23,,Thermite Grenade,0,44,-,14,-,0h 0m 0s,HAO Right,Y4-Split1 ALGS-Playoffs
24,,EVA-8 Auto,0,36,-,-,-,0h 0m 0s,HAO Right,Y4-Split1 ALGS-Playoffs
25,,Bocek Compound Bow,0,112,-,1,-,0h 0m 42s,HAO Right,Y4-Split1 ALGS-Playoffs
26,,Peacekeeper,0,207,-,-,-,0h 0m 45s,HAO Right,Y4-Split1 ALGS-Playoffs
27,,Mastiff Shotgun,0,0,12,-,-,0h 1m 4s,HAO Right,Y4-Split1 ALGS-Playoffs
28,,Sentinel,0,127,8,2,25%,0h 1m 19s,HAO Right,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,11,3319,798,218,27.32%,0h 20m 19s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
1,,Volt SMG,9,2753,754,203,26.92%,0h 16m 24s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
2,,Hemlok Burst AR,5,5356,2033,301,14.81%,1h 0m 30s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
3,,Mozambique Shotgun,2,386,14,-,-,0h 0m 50s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
4,,Sentinel,1,3127,150,43,28.67%,0h 52m 11s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
5,,G7 Scout,0,0,12,-,0%,0h 0m 8s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
6,,Rampage LMG,0,0,11,-,0%,0h 0m 24s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
7,,RE-45 Auto,0,0,14,-,0%,0h 0m 29s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
8,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 23s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
9,,VK-47 Flatline,0,54,25,3,12%,0h 1m 44s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
10,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 18s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
11,,30-30 Repeater,0,202,32,7,21.88%,0h 3m 36s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
12,,Alternator SMG,0,0,16,-,0%,0h 0m 49s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
13,,Mastiff Shotgun,0,110,-,-,-,0h 0m 11s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
14,,Prowler Burst PDW,0,612,125,41,32.8%,0h 3m 42s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
15,,L-STAR EMG,0,51,64,3,4.69%,0h 1m 15s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
16,,P2020,0,0,-,-,NAN%,0h 0m 14s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
17,,Peacekeeper,0,0,-,-,-,0h 0m 1s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
18,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 1s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
19,,Frag Grenade,0,536,-,8,-,0h 0m 0s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
20,,Arc Star,0,56,-,2,-,0h 0m 0s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
21,,R-99 SMG,0,0,21,-,0%,0h 0m 45s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
22,,Triple Take,0,571,81,-,-,0h 7m 25s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
23,,Longbow DMR,0,99,22,2,9.09%,0h 2m 30s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
24,,Nemesis Burst AR,0,368,68,26,38.24%,0h 2m 12s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
25,,Charge Rifle,0,0,16,-,-,0h 3m 32s,WTD Peekgod,Y4-Split1 ALGS-Playoffs
0,,Volt SMG,20,5767,1462,431,29.48%,0h 52m 21s,FUR Keon,Y4-Split1 ALGS-Playoffs
1,,Alternator SMG,2,403,87,34,39.08%,0h 2m 32s,FUR Keon,Y4-Split1 ALGS-Playoffs
2,,Rampage LMG,1,146,34,6,17.65%,0h 0m 42s,FUR Keon,Y4-Split1 ALGS-Playoffs
3,,Mozambique Shotgun,1,230,13,-,-,0h 0m 26s,FUR Keon,Y4-Split1 ALGS-Playoffs
4,,Arc Star,1,393,-,12,-,0h 0m 0s,FUR Keon,Y4-Split1 ALGS-Playoffs
5,,HAVOC Rifle,1,868,222,56,25.23%,0h 6m 30s,FUR Keon,Y4-Split1 ALGS-Playoffs
6,,30-30 Repeater,1,3347,473,87,18.39%,0h 52m 43s,FUR Keon,Y4-Split1 ALGS-Playoffs
7,,G7 Scout,1,321,112,11,9.82%,0h 7m 6s,FUR Keon,Y4-Split1 ALGS-Playoffs
8,,Hemlok Burst AR,0,2695,1301,171,13.14%,0h 47m 9s,FUR Keon,Y4-Split1 ALGS-Playoffs
9,,M600 Spitfire,0,0,9,-,0%,0h 0m 8s,FUR Keon,Y4-Split1 ALGS-Playoffs
10,,RE-45 Auto,0,0,9,-,0%,0h 0m 11s,FUR Keon,Y4-Split1 ALGS-Playoffs
11,,C.A.R. SMG,0,208,114,18,15.79%,0h 2m 0s,FUR Keon,Y4-Split1 ALGS-Playoffs
12,,L-STAR EMG,0,0,-,-,NAN%,0h 0m 11s,FUR Keon,Y4-Split1 ALGS-Playoffs
13,,Triple Take,0,0,-,-,-,0h 0m 9s,FUR Keon,Y4-Split1 ALGS-Playoffs
14,,R-99 SMG,0,123,15,12,80%,0h 0m 9s,FUR Keon,Y4-Split1 ALGS-Playoffs
15,,R-301 Carbine,0,31,48,2,4.17%,0h 1m 7s,FUR Keon,Y4-Split1 ALGS-Playoffs
16,,Frag Grenade,0,869,-,19,-,0h 0m 0s,FUR Keon,Y4-Split1 ALGS-Playoffs
17,,Peacekeeper,0,99,-,-,-,0h 0m 7s,FUR Keon,Y4-Split1 ALGS-Playoffs
18,,Nemesis Burst AR,0,696,300,49,16.33%,0h 18m 32s,FUR Keon,Y4-Split1 ALGS-Playoffs
19,,P2020,0,0,-,-,NAN%,0h 0m 3s,FUR Keon,Y4-Split1 ALGS-Playoffs
20,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 3s,FUR Keon,Y4-Split1 ALGS-Playoffs
21,,VK-47 Flatline,0,271,84,15,17.86%,0h 10m 42s,FUR Keon,Y4-Split1 ALGS-Playoffs
22,,Melee,0,11,-,1,-,0h 0m 0s,FUR Keon,Y4-Split1 ALGS-Playoffs
23,,Devotion LMG,0,0,4,-,0%,0h 0m 3s,FUR Keon,Y4-Split1 ALGS-Playoffs
24,,Sentinel,0,656,30,8,26.67%,0h 6m 39s,FUR Keon,Y4-Split1 ALGS-Playoffs
25,,Bocek Compound Bow,0,380,-,14,-,0h 4m 36s,FUR Keon,Y4-Split1 ALGS-Playoffs
26,,Thermite Grenade,0,104,-,38,-,0h 0m 0s,FUR Keon,Y4-Split1 ALGS-Playoffs
0,,HAVOC Rifle,17,7813,2167,480,22.15%,1h 21m 55s,E8 Shooby,Y4-Split1 ALGS-Playoffs
1,,Hemlok Burst AR,8,4098,1257,256,20.37%,0h 54m 44s,E8 Shooby,Y4-Split1 ALGS-Playoffs
2,,Volt SMG,3,2202,697,162,23.24%,0h 36m 24s,E8 Shooby,Y4-Split1 ALGS-Playoffs
3,,R-301 Carbine,3,1047,490,153,31.22%,0h 16m 29s,E8 Shooby,Y4-Split1 ALGS-Playoffs
4,,Mozambique Shotgun,1,432,15,-,-,0h 2m 52s,E8 Shooby,Y4-Split1 ALGS-Playoffs
5,,VK-47 Flatline,1,310,129,16,12.4%,0h 7m 3s,E8 Shooby,Y4-Split1 ALGS-Playoffs
6,,30-30 Repeater,1,1054,154,24,15.58%,0h 22m 43s,E8 Shooby,Y4-Split1 ALGS-Playoffs
7,,Arc Star,1,203,-,7,-,0h 0m 0s,E8 Shooby,Y4-Split1 ALGS-Playoffs
8,,Nemesis Burst AR,1,248,102,18,17.65%,0h 5m 42s,E8 Shooby,Y4-Split1 ALGS-Playoffs
9,,L-STAR EMG,1,448,186,31,16.67%,0h 9m 49s,E8 Shooby,Y4-Split1 ALGS-Playoffs
10,,G7 Scout,0,982,358,32,8.94%,0h 34m 57s,E8 Shooby,Y4-Split1 ALGS-Playoffs
11,,Bocek Compound Bow,0,183,-,3,-,0h 4m 2s,E8 Shooby,Y4-Split1 ALGS-Playoffs
12,,R-99 SMG,0,77,27,7,25.93%,0h 0m 54s,E8 Shooby,Y4-Split1 ALGS-Playoffs
13,,Prowler Burst PDW,0,162,83,12,14.46%,0h 8m 7s,E8 Shooby,Y4-Split1 ALGS-Playoffs
14,,Charge Rifle,0,0,-,-,-,0h 0m 1s,E8 Shooby,Y4-Split1 ALGS-Playoffs
15,,M600 Spitfire,0,0,17,-,0%,0h 0m 55s,E8 Shooby,Y4-Split1 ALGS-Playoffs
16,,RE-45 Auto,0,0,32,-,0%,0h 0m 44s,E8 Shooby,Y4-Split1 ALGS-Playoffs
17,,Rampage LMG,0,0,9,-,0%,0h 0m 17s,E8 Shooby,Y4-Split1 ALGS-Playoffs
18,,Alternator SMG,0,330,131,21,16.03%,0h 7m 31s,E8 Shooby,Y4-Split1 ALGS-Playoffs
19,,C.A.R. SMG,0,142,65,13,20%,0h 0m 46s,E8 Shooby,Y4-Split1 ALGS-Playoffs
20,,Devotion LMG,0,0,22,-,0%,0h 0m 29s,E8 Shooby,Y4-Split1 ALGS-Playoffs
21,,Thermite Grenade,0,216,-,66,-,0h 0m 0s,E8 Shooby,Y4-Split1 ALGS-Playoffs
22,,Frag Grenade,0,467,-,9,-,0h 0m 0s,E8 Shooby,Y4-Split1 ALGS-Playoffs
23,,Longbow DMR,0,0,-,-,NAN%,0h 0m 22s,E8 Shooby,Y4-Split1 ALGS-Playoffs
24,,Peacekeeper,0,0,-,-,-,0h 0m 10s,E8 Shooby,Y4-Split1 ALGS-Playoffs
25,,P2020,0,0,4,-,0%,0h 0m 6s,E8 Shooby,Y4-Split1 ALGS-Playoffs
26,,Sentinel,0,140,19,2,10.53%,0h 11m 41s,E8 Shooby,Y4-Split1 ALGS-Playoffs
27,,Mastiff Shotgun,0,0,1,-,-,0h 0m 42s,E8 Shooby,Y4-Split1 ALGS-Playoffs
28,,Triple Take,0,0,6,-,-,0h 0m 13s,E8 Shooby,Y4-Split1 ALGS-Playoffs
0,,Hemlok Burst AR,18,15479,5383,838,15.57%,2h 58m 52s,LGND Koyful,Y4-Split1 ALGS-Playoffs
1,,HAVOC Rifle,18,5067,1012,309,30.53%,0h 24m 31s,LGND Koyful,Y4-Split1 ALGS-Playoffs
2,,Volt SMG,12,5073,1390,372,26.76%,0h 34m 40s,LGND Koyful,Y4-Split1 ALGS-Playoffs
3,,Prowler Burst PDW,5,1261,477,92,19.29%,0h 8m 33s,LGND Koyful,Y4-Split1 ALGS-Playoffs
4,,G7 Scout,4,1523,323,55,17.03%,0h 21m 7s,LGND Koyful,Y4-Split1 ALGS-Playoffs
5,,Frag Grenade,2,556,-,8,-,0h 0m 0s,LGND Koyful,Y4-Split1 ALGS-Playoffs
6,,Devotion LMG,2,79,24,6,25%,0h 0m 49s,LGND Koyful,Y4-Split1 ALGS-Playoffs
7,,Triple Take,1,1049,78,-,-,0h 12m 23s,LGND Koyful,Y4-Split1 ALGS-Playoffs
8,,Mozambique Shotgun,0,75,16,-,-,0h 0m 23s,LGND Koyful,Y4-Split1 ALGS-Playoffs
9,,Nemesis Burst AR,0,791,342,56,16.37%,0h 9m 26s,LGND Koyful,Y4-Split1 ALGS-Playoffs
10,,Alternator SMG,0,0,58,-,0%,0h 2m 18s,LGND Koyful,Y4-Split1 ALGS-Playoffs
11,,Rampage LMG,0,0,32,-,0%,0h 0m 29s,LGND Koyful,Y4-Split1 ALGS-Playoffs
12,,RE-45 Auto,0,0,7,-,0%,0h 0m 16s,LGND Koyful,Y4-Split1 ALGS-Playoffs
13,,Arc Star,0,167,-,5,-,0h 0m 0s,LGND Koyful,Y4-Split1 ALGS-Playoffs
14,,Sentinel,0,0,9,-,0%,0h 0m 6s,LGND Koyful,Y4-Split1 ALGS-Playoffs
15,,Peacekeeper,0,0,-,-,-,0h 0m 8s,LGND Koyful,Y4-Split1 ALGS-Playoffs
16,,L-STAR EMG,0,0,16,-,0%,0h 1m 49s,LGND Koyful,Y4-Split1 ALGS-Playoffs
17,,P2020,0,0,-,-,NAN%,0h 0m 9s,LGND Koyful,Y4-Split1 ALGS-Playoffs
18,,VK-47 Flatline,0,111,185,7,3.78%,0h 3m 26s,LGND Koyful,Y4-Split1 ALGS-Playoffs
19,,C.A.R. SMG,0,178,251,15,5.98%,0h 3m 13s,LGND Koyful,Y4-Split1 ALGS-Playoffs
20,,M600 Spitfire,0,96,16,6,37.5%,0h 0m 43s,LGND Koyful,Y4-Split1 ALGS-Playoffs
21,,30-30 Repeater,0,95,26,2,7.69%,0h 7m 19s,LGND Koyful,Y4-Split1 ALGS-Playoffs
22,,R-301 Carbine,0,0,40,-,0%,0h 1m 44s,LGND Koyful,Y4-Split1 ALGS-Playoffs
23,,Mastiff Shotgun,0,0,-,-,-,0h 0m 1s,LGND Koyful,Y4-Split1 ALGS-Playoffs
